feature,histogram_overlap,pass_mean,fail_mean,pass_median,fail_median
wafer_die_density,0.8372954550861333,0.7754012089073726,0.7779997526767302,0.7769585251808167,0.7815718054771423
wafer_die_count,0.8613789887361364,1540.6532490950258,1761.8197576315386,1256.0,1414.0
wafer_old_fail_rate,0.8815360854375218,0.10165147239315286,0.0998167862735939,0.09922680258750916,0.08938547223806381
wafer_old_fail_count,0.9065659272280685,135.10129611301673,147.49946310783864,97.0,97.0
feature_272,0.9065938099782898,22.278450337102004,22.024994522904596,22.274353981018066,22.033828735351562
feature_183,0.9066574201668685,-205.2504063261055,-199.6301995932937,-205.28472900390625,-199.13536071777344
feature_245,0.9072121760474215,4063.4562927907264,3960.654435105257,4063.739990234375,3964.613037109375
feature_243,0.9085035651975868,1017.6991312104063,1046.832464291578,1017.5987548828125,1048.682861328125
feature_282,0.9085209173066695,5.228126154883448,5.182346769629272,5.227968215942383,5.181501865386963
feature_109,0.9086550444201201,37.047310039500246,36.75102546306855,37.0477352142334,36.76504135131836
feature_60,0.9089001056560116,7.691862332862752,7.7892472470057195,7.691638708114624,7.783514022827148
feature_33,0.9098188294855564,784.0683719280894,779.6738954705866,784.0134887695312,779.4593505859375
feature_58,0.9112211527581624,-151.7878880093317,-148.78820063706135,-151.79969787597656,-148.62197875976562
feature_246,0.9116448938200145,133.16436184432507,134.4832160494448,133.1585693359375,134.4759979248047
feature_85,0.912587535421538,-2.0948295244651436,-2.032116148401978,-2.095363736152649,-2.035235643386841
feature_325,0.913023597759864,0.37958362362910675,0.37618841588597735,0.37962447106838226,0.3759459853172302
feature_242,0.9133731979919987,590.6016553235588,606.6094135507373,590.5001525878906,606.2371826171875
feature_480,0.9153672836087543,-1.6059121451014837,-1.556939875115864,-1.6059173345565796,-1.5561931133270264
feature_284,0.9215695328002186,0.15186314731488837,0.1564728358183596,0.15179234743118286,0.15633338689804077
spatial_radial_dist,0.9275795444981833,0.6684854039019368,0.7093001127298473,0.7064780592918396,0.7563946843147278
