wafer_id,total_dies,old_failures,predicted_total_failures,predicted_new_failures,predicted_yield_loss_pct,mean_die_risk,max_die_risk,model_b_inspections,model_b_inspection_pct
W_F_0014,1256,220,236,16,18.789808917197455,0.33700278401374817,1.0,1036,82.48407643312102
W_N_0018,505,43,43,0,8.514851485148515,0.23400717973709106,1.0,462,91.48514851485149
W_N_0108,516,78,83,5,16.08527131782946,0.30628761649131775,1.0,438,84.88372093023256
W_N_0006,516,123,130,7,25.1937984496124,0.3873389661312103,1.0,393,76.16279069767442
W_N_0145,844,107,108,1,12.796208530805686,0.2884514629840851,1.0,737,87.32227488151659
W_F_0019,1421,377,385,8,27.093596059113302,0.41088780760765076,1.0,1044,73.46938775510205
W_N_0112,776,105,118,13,15.206185567010309,0.3024851083755493,1.0,671,86.46907216494846
W_N_0127,592,40,41,1,6.925675675675675,0.22587896883487701,1.0,552,93.24324324324324
W_N_0128,533,75,78,3,14.634146341463413,0.2997560203075409,1.0,458,85.92870544090057
W_N_0126,1250,62,68,6,5.4399999999999995,0.2311985343694687,1.0,1188,95.04
W_F_0030,515,166,170,4,33.00970873786408,0.45000410079956055,1.0,349,67.76699029126215
W_N_0010,516,74,81,7,15.69767441860465,0.30085489153862,1.0,442,85.65891472868216
W_N_0019,1414,45,53,8,3.7482319660537478,0.20844261348247528,1.0,1369,96.81753889674681
W_N_0023,516,94,98,4,18.992248062015506,0.33227941393852234,1.0,422,81.78294573643412
W_N_0025,776,72,72,0,9.278350515463918,0.24701911211013794,1.0,704,90.72164948453609
W_F_0003,710,115,129,14,18.169014084507044,0.3257836103439331,1.0,595,83.80281690140845
W_N_0002,1109,149,174,25,15.689810640216411,0.3083278238773346,1.0,960,86.56447249774571
W_F_0016,985,168,186,18,18.883248730964468,0.3375868797302246,1.0,817,82.94416243654823
W_N_0015,1483,59,141,82,9.507754551584625,0.25887271761894226,1.0,1423,95.9541469993257
W_N_0066,1109,78,113,35,10.18935978358882,0.2676037847995758,1.0,1031,92.96663660955817
W_N_0038,533,90,91,1,17.073170731707318,0.320088267326355,1.0,443,83.11444652908068
W_N_0142,533,94,95,1,17.823639774859288,0.32247087359428406,1.0,439,82.36397748592871
W_N_0016,1376,106,115,9,8.357558139534884,0.24451296031475067,1.0,1270,92.29651162790698
W_N_0068,518,64,65,1,12.548262548262548,0.27604857087135315,1.0,454,87.64478764478764
W_N_0125,562,52,56,4,9.9644128113879,0.2482679933309555,1.0,510,90.74733096085409
W_N_0076,533,70,73,3,13.696060037523452,0.28976303339004517,1.0,463,86.86679174484053
W_N_0111,516,100,106,6,20.54263565891473,0.34735095500946045,1.0,416,80.62015503875969
W_F_0047,776,96,110,14,14.175257731958762,0.2928430140018463,1.0,680,87.62886597938144
W_N_0144,895,73,78,5,8.715083798882683,0.24962672591209412,1.0,822,91.84357541899442
W_N_0077,1109,137,140,3,12.623985572587918,0.2799780070781708,1.0,972,87.64652840396754
W_N_0096,776,92,102,10,13.144329896907218,0.28073063492774963,1.0,684,88.14432989690721
W_N_0099,1414,39,52,13,3.6775106082036775,0.21260029077529907,1.0,1375,97.24186704384724
W_F_0027,1801,274,288,14,15.991116046640755,0.31039053201675415,1.0,1527,84.78622987229318
W_N_0073,533,83,94,11,17.636022514071296,0.32332155108451843,1.0,450,84.42776735459663
W_N_0012,952,70,80,10,8.403361344537815,0.2576565444469452,1.0,882,92.64705882352942
W_F_0010,4096,2371,2421,50,59.1064453125,0.6815488338470459,1.0,1725,42.1142578125
W_F_0036,1075,198,199,1,18.511627906976745,0.3369300961494446,1.0,877,81.5813953488372
W_F_0009,2126,263,281,18,13.217309501411101,0.29066258668899536,1.0,1863,87.6293508936971
W_N_0024,1109,127,159,32,14.337240757439135,0.29499682784080505,1.0,982,88.5482416591524
W_N_0122,776,104,120,16,15.463917525773196,0.2979835569858551,1.0,672,86.5979381443299
